genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_008042275.1,PRJNA496211,ASM804227v1,Scaffold,na,SAMN10237436,2019-08-21,GCA_008042275.1,full,Streptomyces,Streptomyces sp. or43 (high GC Gram+),GCF_008042275.1,,yes,major,sp.,or43,Cornell University,2478957
GCF_008064995.1,PRJDB3565,ASM806499v1,Complete Genome,na,SAMD00027156,2019-07-31,GCA_008064995.1,full,Streptomyces,Streptomyces rochei (high GC Gram+),GCF_008064995.1,,yes,major,rochei,7434AN4,National Institute of Infectious Diseases,1928
GCF_008086975.1,PRJNA504665,ASM808697v1,Scaffold,na,SAMN12024009,2019-08-26,GCA_008086975.1,full,Streptomyces,Streptomyces sp. WAC05950 (high GC Gram+),GCF_008086975.1,,yes,major,sp.,WAC5950 substr. delta orf15 pCRISPomyces,McMaster University,2487419
GCF_008087005.1,PRJNA504665,ASM808700v1,Contig,na,SAMN12024012,2019-08-26,GCA_008087005.1,full,Streptomyces,Streptomyces sp. WAC01526 (high GC Gram+),GCF_008087005.1,,yes,major,sp.,WAC01526,McMaster University,2588709
GCF_008107605.1,PRJNA506854,ASM810760v1,Scaffold,na,SAMN10475037,2019-08-26,GCA_008107605.1,full,Streptomyces,Streptomyces sp. CB01881 (high GC Gram+),GCF_008107605.1,,yes,major,sp.,CB01881,Xiangya International Academy of Translational Medicine,2078691
GCF_008120935.1,PRJNA496211,ASM812093v1,Scaffold,na,SAMN10237440,2019-08-21,GCA_008120935.1,full,Streptomyces,Streptomyces sp. sk2.1 (high GC Gram+),GCF_008120935.1,,yes,major,sp.,sk2.1,Cornell University,2478959
GCF_008124905.1,PRJNA547099,ASM812490v1,Scaffold,na,SAMN12024979,2019-08-29,GCA_008124905.1,full,Streptomyces,Streptomyces coelicolor (high GC Gram+),GCF_008124905.1,,yes,major,coelicolor,A3(2) R4-mCherry-14,DOE Joint Genome Institute,1902
GCF_008124915.1,PRJNA547106,ASM812491v1,Scaffold,na,SAMN12070206,2019-08-29,GCA_008124915.1,full,Streptomyces,Streptomyces coelicolor A3(2) (high GC Gram+),GCF_008124915.1,,yes,major,coelicolor,ICSSB 1010,DOE Joint Genome Institute,100226
GCF_008124975.1,PRJNA547102,ASM812497v1,Scaffold,na,SAMN12024919,2019-08-29,GCA_008124975.1,full,Streptomyces,Streptomyces coelicolor (high GC Gram+),GCF_008124975.1,,yes,major,coelicolor,A3(2) R4-mCherry-17,DOE Joint Genome Institute,1902
GCF_008124985.1,PRJNA547100,ASM812498v1,Scaffold,na,SAMN12024792,2019-08-29,GCA_008124985.1,full,Streptomyces,Streptomyces coelicolor (high GC Gram+),GCF_008124985.1,,yes,major,coelicolor,A3(2) R4-mCherry-15,DOE Joint Genome Institute,1902
GCF_008125035.1,PRJNA547103,ASM812503v1,Scaffold,na,SAMN12024840,2019-08-29,GCA_008125035.1,full,Streptomyces,Streptomyces coelicolor (high GC Gram+),GCF_008125035.1,,yes,major,coelicolor,A3(2) R4-mCherry-18,DOE Joint Genome Institute,1902
GCF_008180165.1,PRJNA562075,ASM818016v1,Contig,na,SAMN12633844,2019-08-31,GCA_008180165.1,full,Streptomyces,Streptomyces parvus (high GC Gram+),GCF_008180165.1,,yes,major,parvus,C05,Instituto de Recursos Naturales y Agrobiologia,66428
GCF_008271805.1,PRJNA560315,ASM827180v1,Scaffold,na,SAMN12575242,2019-09-04,GCA_008271805.1,full,Streptomyces,Streptomyces sp. TRM49041 (high GC Gram+),GCF_008271805.1,,yes,major,sp.,TRM49041,College of Life Science,2603216
GCF_008312835.1,PRJNA559937,ASM831283v1,Contig,na,SAMN12559127,2019-09-06,GCA_008312835.1,full,Streptomyces,Streptomyces marokkonensis (high GC Gram+),GCF_008312835.1,Representative Genome,yes,major,marokkonensis,OANH409,Ocean University of China,324855
GCF_008312845.1,PRJNA559937,ASM831284v1,Scaffold,na,SAMN12559126,2019-09-06,GCA_008312845.1,full,Streptomyces,Streptomyces cacaoi (high GC Gram+),GCF_008312845.1,Representative Genome,yes,major,cacaoi,OABC16,Ocean University of China,1898
GCF_008369065.1,PRJNA496211,ASM836906v1,Scaffold,na,SAMN11840809,2019-09-10,GCA_008369065.1,full,Streptomyces,Streptomyces apricus (high GC Gram+),GCF_008369065.1,,yes,major,apricus,SUN51,Cornell University,1828112
GCF_008386495.1,PRJNA562059,ASM838649v1,Scaffold,na,SAMN12633627,2019-09-16,GCA_008386495.1,full,Streptomyces,Streptomyces tailanensis (high GC Gram+),GCF_008386495.1,Representative Genome,yes,major,tailanensis,TRM68348,Tarim University,2569858
GCF_008632535.1,PRJNA565123,ASM863253v1,Scaffold,na,SAMN12734737,2019-09-22,GCA_008632535.1,full,Streptomyces,Streptomyces parvus (high GC Gram+),GCF_008632535.1,,yes,major,parvus,NRRL B-1455,Instituto de Recursos Naturales y Agrobiologia,66428
GCF_008632955.1,PRJNA565833,ASM863295v1,Complete Genome,na,SAMN12769860,2019-09-23,GCA_008632955.1,full,Streptomyces,Streptomyces tendae (high GC Gram+),GCF_008632955.1,,yes,major,tendae,139,"Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences",1932
GCF_008634015.1,PRJNA412292,ASM863401v1,Contig,na,SAMN07709102,2019-09-23,GCA_008634015.1,full,Streptomyces,Streptomyces filamentosus (high GC Gram+),GCF_008634015.1,Representative Genome,yes,major,filamentosus,ATCC 23958,KAIST,67294
GCF_008634025.1,PRJNA412292,ASM863402v1,Contig,na,SAMN07709096,2019-09-23,GCA_008634025.1,full,Streptomyces,Streptomyces albofaciens JCM 4342 (high GC Gram+),GCF_008634025.1,Representative Genome,yes,major,albofaciens,ATCC 23873,KAIST,1306175
GCF_008639045.1,PRJNA454547,ASM863904v1,Complete Genome,na,SAMN09010086,2019-09-23,GCA_008639045.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008639045.1,,yes,major,venezuelae,ATCC 21113,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008639165.1,PRJNA454547,ASM863916v1,Complete Genome,na,SAMN09010085,2019-09-23,GCA_008639165.1,full,Streptomyces,Streptomyces venezuelae ATCC 10712 (high GC Gram+),GCF_008639165.1,,yes,major,venezuelae,ATCC 10712,Korea Advanced Institute of Science and Technology(KAIST),953739
GCF_008642275.1,PRJNA454547,ASM864227v1,Complete Genome,na,SAMN09010093,2019-09-23,GCA_008642275.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008642275.1,,yes,major,venezuelae,ATCC 21018,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008642295.1,PRJNA454547,ASM864229v1,Complete Genome,na,SAMN09010092,2019-09-23,GCA_008642295.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008642295.1,,yes,major,venezuelae,ATCC 21782,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008642315.1,PRJNA454547,ASM864231v1,Complete Genome,na,SAMN09010090,2019-09-23,GCA_008642315.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008642315.1,,yes,major,venezuelae,ATCC 14584,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008642335.1,PRJNA454547,ASM864233v1,Complete Genome,na,SAMN09010091,2019-09-23,GCA_008642335.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008642335.1,,yes,major,venezuelae,ATCC 14585,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008642355.1,PRJNA454547,ASM864235v1,Complete Genome,na,SAMN09010089,2019-09-23,GCA_008642355.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008642355.1,,yes,major,venezuelae,ATCC 14583,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008642375.1,PRJNA454547,ASM864237v1,Complete Genome,na,SAMN09010088,2019-09-23,GCA_008642375.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008642375.1,,yes,major,venezuelae,ATCC 15068,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008704395.1,PRJNA412292,ASM870439v1,Complete Genome,na,SAMN07709098,2019-09-26,GCA_008704395.1,full,Streptomyces,Streptomyces alboniger (high GC Gram+),GCF_008704395.1,Representative Genome,yes,major,alboniger,ATCC 12461,KAIST,132473
GCF_008704425.1,PRJNA412292,ASM870442v1,Complete Genome,na,SAMN07709097,2019-09-26,GCA_008704425.1,full,Streptomyces,Streptomyces fradiae ATCC 10745 = DSM 40063 (high GC Gram+),GCF_008704425.1,Representative Genome,yes,major,fradiae,ATCC 10745,KAIST,1319510
GCF_008704445.1,PRJNA412292,ASM870444v1,Complete Genome,na,SAMN07709095,2019-09-26,GCA_008704445.1,full,Streptomyces,Streptomyces prasinus (high GC Gram+),GCF_008704445.1,Representative Genome,yes,major,prasinus,ATCC 13879,KAIST,67345
GCF_008704495.1,PRJNA412292,ASM870449v1,Complete Genome,na,SAMN07709093,2019-09-26,GCA_008704495.1,full,Streptomyces,Streptomyces kanamyceticus (high GC Gram+),GCF_008704495.1,Representative Genome,yes,major,kanamyceticus,ATCC 12853,KAIST,1967
GCF_008704515.1,PRJNA412292,ASM870451v1,Complete Genome,na,SAMN07709092,2019-09-26,GCA_008704515.1,full,Streptomyces,Streptomyces viridosporus T7A (high GC Gram+),GCF_008704515.1,Representative Genome,yes,major,viridosporus,ATCC 39115,KAIST,665577
GCF_008704535.1,PRJNA412292,ASM870453v1,Complete Genome,na,SAMN07709091,2019-09-26,GCA_008704535.1,full,Streptomyces,Streptomyces subrutilus (high GC Gram+),GCF_008704535.1,Representative Genome,yes,major,subrutilus,ATCC 27467,KAIST,36818
GCF_008704555.1,PRJNA412292,ASM870455v1,Complete Genome,na,SAMN07709090,2019-09-26,GCA_008704555.1,full,Streptomyces,Streptomyces nitrosporeus (high GC Gram+),GCF_008704555.1,Representative Genome,yes,major,nitrosporeus,ATCC 12769,KAIST,28894
GCF_008704575.1,PRJNA412292,ASM870457v1,Complete Genome,na,SAMN07709089,2019-09-26,GCA_008704575.1,full,Streptomyces,Streptomyces galilaeus (high GC Gram+),GCF_008704575.1,Representative Genome,yes,major,galilaeus,ATCC 14969,KAIST,33899
GCF_008704655.1,PRJNA412292,ASM870465v1,Complete Genome,na,SAMN07709107,2019-09-26,GCA_008704655.1,full,Streptomyces,Streptomyces rimosus (high GC Gram+),GCF_008704655.1,,yes,major,rimosus,ATCC 10970,KAIST,1927
GCF_008704715.1,PRJNA412292,ASM870471v1,Complete Genome,na,SAMN07709106,2019-09-26,GCA_008704715.1,full,Streptomyces,Streptomyces chartreusis (high GC Gram+),GCF_008704715.1,Representative Genome,yes,major,chartreusis,ATCC 14922,KAIST,1969
GCF_008704795.1,PRJNA412292,ASM870479v1,Complete Genome,na,SAMN07709105,2019-09-26,GCA_008704795.1,full,Streptomyces,Streptomyces spectabilis (high GC Gram+),GCF_008704795.1,Representative Genome,yes,major,spectabilis,ATCC 27465,KAIST,68270
GCF_008704855.1,PRJNA412292,ASM870485v1,Complete Genome,na,SAMN07709104,2019-09-26,GCA_008704855.1,full,Streptomyces,Streptomyces platensis (high GC Gram+),GCF_008704855.1,Representative Genome,yes,major,platensis,ATCC 23948,KAIST,58346
GCF_008704935.1,PRJNA412292,ASM870493v1,Complete Genome,na,SAMN07709103,2019-09-26,GCA_008704935.1,full,Streptomyces,Streptomyces vinaceus (high GC Gram+),GCF_008704935.1,Representative Genome,yes,major,vinaceus,ATCC 27476,KAIST,1960
GCF_008704995.1,PRJNA412292,ASM870499v1,Complete Genome,na,SAMN07709101,2019-09-26,GCA_008704995.1,full,Streptomyces,Streptomyces nodosus (high GC Gram+),GCF_008704995.1,,yes,major,nodosus,ATCC 14899,KAIST,40318
GCF_008705135.1,PRJNA412292,ASM870513v1,Complete Genome,na,SAMN07709099,2019-09-26,GCA_008705135.1,full,Streptomyces,Streptomyces coeruleorubidus (high GC Gram+),GCF_008705135.1,Representative Genome,yes,major,coeruleorubidus,ATCC 13740,KAIST,116188
GCF_008705255.1,PRJNA454547,ASM870525v1,Complete Genome,na,SAMN09010087,2019-09-23,GCA_008705255.1,full,Streptomyces,Streptomyces venezuelae (high GC Gram+),GCF_008705255.1,,yes,major,venezuelae,ATCC 10595,Korea Advanced Institute of Science and Technology(KAIST),54571
GCF_008806595.1,PRJNA572569,ASM880659v1,Scaffold,na,SAMN12794447,2019-10-02,GCA_008806595.1,full,Streptomyces,Streptomyces luteolifulvus (high GC Gram+),GCF_008806595.1,Representative Genome,yes,major,luteolifulvus,HIT-DPA4,Harbin Institute of Technology,2615112
GCF_008868685.1,PRJNA574783,ASM886868v1,Scaffold,na,SAMN12869299,2019-10-07,GCA_008868685.1,full,Streptomyces,Streptomyces triticiradicis (high GC Gram+),GCF_008868685.1,Representative Genome,yes,major,triticiradicis,NEAU-H2,School of life science,2651189
GCF_008905045.1,PRJNA564420,ASM890504v1,Scaffold,na,SAMN12712261,2019-10-08,GCA_008905045.1,full,Streptomyces,Streptomyces albicerus (high GC Gram+),GCF_008905045.1,Representative Genome,yes,major,albicerus,TRM68295,Tarim University,2569859
GCF_008931305.1,PRJNA557658,ASM893130v1,Complete Genome,na,SAMN12401776,2019-10-09,GCA_008931305.1,full,Streptomyces,Streptomyces coelicolor A3(2) (high GC Gram+),GCF_008931305.1,,yes,major,coelicolor,CFB_NBC_0001,Technical University of Denmark,100226
GCF_008932075.1,PRJNA572582,ASM893207v1,Scaffold,na,SAMN12795005,2019-10-09,GCA_008932075.1,full,Streptomyces,Streptomyces sp. TRM68085 (high GC Gram+),GCF_008932075.1,,yes,major,sp.,TRM68085,Tarim university,2600619
GCF_008973465.1,PRJNA575315,ASM897346v1,Contig,na,SAMN12885511,2019-10-10,GCA_008973465.1,full,Streptomyces,Streptomyces sp. SS1-1 (high GC Gram+),GCF_008973465.1,,yes,major,sp.,SS1-1,Center for Research and Application in Bioscience,2651869
GCF_008974245.1,PRJDB4097,ASM897424v1,Scaffold,na,SAMD00035864,2019-10-05,GCA_008974245.1,full,Streptomyces,Streptomyces abyssomicinicus (high GC Gram+),GCF_008974245.1,Representative Genome,yes,major,abyssomicinicus,CHI39,National Institute of Technology and Evaluation Biological Resource Center,574929
GCF_009025935.1,PRJNA576028,ASM902593v1,Chromosome,na,SAMN12916208,2019-10-15,GCA_009025935.1,full,Streptomyces,Streptomyces sp. C8S0 (high GC Gram+),GCF_009025935.1,,yes,major,sp.,C8S0,Instituto Tecnologico y de Estudios Superiores de Monterrey - ITESM,2585716
GCF_009176265.1,PRJDB8672,ASM917626v1,Scaffold,na,SAMD00182884,2019-10-11,GCA_009176265.1,full,Streptomyces,Streptomyces angustmyceticus (high GC Gram+),GCF_009176265.1,,yes,major,angustmyceticus,NBRC 3934,"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)",285578
GCF_009184865.1,PRJNA576310,ASM918486v1,Complete Genome,na,SAMN12989728,2019-10-20,GCA_009184865.1,full,Streptomyces,Streptomyces phaeolivaceus (high GC Gram+),GCF_009184865.1,Representative Genome,yes,major,phaeolivaceus,GY16,Central South University of Forestry and Technology,2653200
GCF_009208535.1,PRJNA558164,ASM920853v1,Contig,na,SAMN12429375,2019-10-21,GCA_009208535.1,full,Streptomyces,Streptomyces mobaraensis (high GC Gram+),GCF_009208535.1,,yes,major,mobaraensis,US-43,"Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences",35621
GCF_009296025.1,PRJNA577407,ASM929602v1,Complete Genome,na,SAMN13028016,2019-10-24,GCA_009296025.1,full,Streptomyces,Streptomyces tsukubensis (high GC Gram+),GCF_009296025.1,,yes,major,tsukubensis,AT3,Shandong First Medical University,83656
GCF_009299385.1,PRJNA412292,ASM929938v1,Complete Genome,na,SAMN07709100,2019-09-26,GCA_009299385.1,full,Streptomyces,Streptomyces cinereoruber (high GC Gram+),GCF_009299385.1,Representative Genome,yes,major,cinereoruber,ATCC 19740,KAIST,67260
GCF_009377175.1,PRJNA553619,ASM937717v1,Contig,na,SAMN12240911,2019-10-28,GCA_009377175.1,full,Streptomyces,Streptomyces adustus (high GC Gram+),GCF_009377175.1,Representative Genome,yes,major,adustus,NBRC 109810,Kasetsart University,1609272
GCF_009377185.1,PRJNA553619,ASM937718v1,Contig,na,SAMN12241512,2019-10-28,GCA_009377185.1,full,Streptomyces,Streptomyces spongiae (high GC Gram+),GCF_009377185.1,Representative Genome,yes,major,spongiae,NBRC 106415,Kasetsart University,565072
GCF_009377205.1,PRJNA553619,ASM937720v1,Contig,na,SAMN12240910,2019-10-28,GCA_009377205.1,full,Streptomyces,Streptomyces phyllanthi (high GC Gram+),GCF_009377205.1,Representative Genome,yes,major,phyllanthi,TISTR 2346,Kasetsart University,1803180
GCF_009377235.1,PRJNA553619,ASM937723v1,Contig,na,SAMN12240881,2019-10-28,GCA_009377235.1,full,Streptomyces,Streptomyces acidicola (high GC Gram+),GCF_009377235.1,Representative Genome,yes,major,acidicola,K1PN6,Kasetsart University,2596892
GCF_009495655.1,PRJNA579270,ASM949565v1,Complete Genome,na,SAMN13107518,2019-11-02,GCA_009495655.1,full,Streptomyces,Streptomyces sp. SYP-A7193 (high GC Gram+),GCF_009495655.1,,yes,major,sp.,SYP-A7193,Shenyang Pharmaceutical University,2662065
GCF_009498275.1,PRJNA579795,ASM949827v1,Complete Genome,na,SAMN13133865,2019-11-04,GCA_009498275.1,full,Streptomyces,Streptomyces fagopyri (high GC Gram+),GCF_009498275.1,Representative Genome,yes,major,fagopyri,QMT-28,Hunan university of science and technology,2662397
GCF_009569385.1,PRJNA574488,ASM956938v1,Contig,na,SAMN12859417,2019-11-05,GCA_009569385.1,full,Streptomyces,Streptomyces kaniharaensis (high GC Gram+),GCF_009569385.1,Representative Genome,yes,major,kaniharaensis,SF-557,Cardiff University,212423
GCF_009600885.1,PRJNA544339,ASM960088v1,Scaffold,na,SAMN11619524,2019-11-05,GCA_009600885.1,full,Streptomyces,Streptomyces jumonjinensis (high GC Gram+),GCF_009600885.1,Representative Genome,yes,major,jumonjinensis,NRRL 5741,Memorial University of Newfoundland,1945
GCF_009600895.1,PRJNA544321,ASM960089v1,Scaffold,na,SAMN11620976,2019-11-05,GCA_009600895.1,full,Streptomyces,Streptomyces katsurahamanus (high GC Gram+),GCF_009600895.1,Representative Genome,yes,major,katsurahamanus,T-272,Memorial University of Newfoundland,2577098
GCF_009604385.1,PRJNA545686,ASM960438v1,Contig,na,SAMN11898449,2019-11-06,GCA_009604385.1,full,Streptomyces,Streptomyces sp. RB5 (high GC Gram+),GCF_009604385.1,,yes,major,sp.,RB5,Karlsruhe Institute of Technology,2585196
GCF_009604455.1,PRJNA545686,ASM960445v1,Scaffold,na,SAMN11898452,2019-11-06,GCA_009604455.1,full,Streptomyces,Streptomyces sp. RB17 (high GC Gram+),GCF_009604455.1,,yes,major,sp.,RB17,Karlsruhe Institute of Technology,2585197
GCF_009650765.1,PRJNA587018,ASM965076v1,Complete Genome,na,SAMN11665303,2019-11-12,GCA_009650765.1,full,Streptomyces,Streptomyces sp. SUK 48 (high GC Gram+),GCF_009650765.1,,yes,major,sp.,SUK 48,Universiti Sultan Zainal Abidin,2582831
GCF_009709555.1,PRJNA579796,ASM970955v1,Scaffold,na,SAMN13133878,2019-11-26,GCA_009709555.1,full,Streptomyces,Streptomyces blattellae (high GC Gram+),GCF_009709555.1,,yes,major,blattellae,TRM63209,Tarim University,2569855
GCF_009709575.1,PRJNA563215,ASM970957v1,Contig,na,SAMN12670342,2019-11-26,GCA_009709575.1,full,Streptomyces,Streptomyces taklimakanensis (high GC Gram+),GCF_009709575.1,Representative Genome,yes,major,taklimakanensis,TRM43335,Tarim University,2569853
GCF_009735685.1,PRJNA578243,ASM973568v1,Scaffold,na,SAMN13053409,2019-12-09,GCA_009735685.1,full,Streptomyces,Streptomyces lycii (high GC Gram+),GCF_009735685.1,Representative Genome,yes,major,lycii,TRM 66187,Tarim University,2654337
GCF_009739225.1,PRJNA593488,ASM973922v1,Scaffold,na,SAMN13477514,2019-12-10,GCA_009739225.1,full,Streptomyces,Streptomyces sp. Z38 (high GC Gram+),GCF_009739225.1,,yes,major,sp.,Z38,PROIMI,2682780
GCF_009739465.1,PRJNA578002,ASM973946v1,Scaffold,na,SAMN13045849,2019-12-10,GCA_009739465.1,full,Streptomyces,Streptomyces apocyni (high GC Gram+),GCF_009739465.1,Representative Genome,yes,major,apocyni,TRM 66233,Tarim university,2654677
GCF_009739905.1,PRJNA507930,ASM973990v1,Complete Genome,na,SAMN10516753,2019-12-11,GCA_009739905.1,full,Streptomyces,Streptomyces ficellus (high GC Gram+),GCF_009739905.1,Representative Genome,yes,major,ficellus,NRRL 8067,college of bioengineering,1977088
GCF_009755605.1,PRJNA591980,ASM975560v1,Scaffold,na,SAMN13394553,2019-12-15,GCA_009755605.1,full,Streptomyces,Streptomyces typhae (high GC Gram+),GCF_009755605.1,Representative Genome,yes,major,typhae,p1417,School of life science,2681492
GCF_009769735.1,PRJNA531570,ASM976973v1,Contig,na,SAMN11370196,2019-12-19,GCA_009769735.1,full,Streptomyces,Streptomyces sp. BA2 (high GC Gram+),GCF_009769735.1,,yes,major,sp.,BA2,Dicle University,436595
GCF_009789635.1,PRJNA595049,ASM978963v1,Complete Genome,na,SAMN13545208,2019-12-22,GCA_009789635.1,full,Streptomyces,Streptomyces sp. QHH-9511 (high GC Gram+),GCF_009789635.1,,yes,major,sp.,QHH-9511,Northwest A&F University,2684468
GCF_009796285.1,PRJNA595585,ASM979628v1,Complete Genome,na,SAMN13560631,2019-12-24,GCA_009796285.1,full,Streptomyces,Streptomyces broussonetiae (high GC Gram+),GCF_009796285.1,Representative Genome,yes,major,broussonetiae,T44,Central South University of Forestry and Technology,2686304
GCF_009811555.1,PRJDB8970,ASM981155v1,Contig,na,SAMD00194895,2019-12-10,GCA_009811555.1,full,Streptomyces,Streptomyces caniferus (high GC Gram+),GCF_009811555.1,Representative Genome,yes,major,caniferus,NBRC 15389,"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)",285557
GCF_009811575.1,PRJDB8971,ASM981157v1,Contig,na,SAMD00194896,2019-12-10,GCA_009811575.1,full,Streptomyces,Streptomyces glebosus (high GC Gram+),GCF_009811575.1,Representative Genome,yes,major,glebosus,NBRC 13786,"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)",249580
GCF_009811595.1,PRJDB8972,ASM981159v1,Contig,na,SAMD00194897,2019-12-10,GCA_009811595.1,full,Streptomyces,Streptomyces libani subsp. libani (high GC Gram+),GCF_009811595.1,Representative Genome,yes,major,libani,NBRC 13452,"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)",68044
GCF_009811635.1,PRJDB8974,ASM981163v1,Contig,na,SAMD00194899,2019-12-10,GCA_009811635.1,full,Streptomyces,Streptomyces tubercidicus (high GC Gram+),GCF_009811635.1,Representative Genome,yes,major,tubercidicus,NBRC 13090,"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)",47759
GCF_009823745.1,PRJNA597290,ASM982374v1,Scaffold,na,SAMN13671721,2019-12-31,GCA_009823745.1,full,Streptomyces,Streptomyces sp. YIM 132580 (high GC Gram+),GCF_009823745.1,,yes,major,sp.,YIM 132580,Yunnan University,2691958
GCF_009827025.1,PRJNA597687,ASM982702v1,Contig,na,SAMN13680003,2020-01-01,GCA_009827025.1,full,Streptomyces,Streptomyces sp. HUCO-GS316 (high GC Gram+),GCF_009827025.1,,yes,major,sp.,HUCO-GS316,School of food engineering,2692198
GCF_009829585.1,PRJNA507186,ASM982958v1,Scaffold,na,SAMN10485464,2020-01-03,GCA_009829585.1,full,Streptomyces,Streptomyces tendae (high GC Gram+),GCF_009829585.1,,yes,major,tendae,UTMC 3329,University of Tehran,1932
GCF_009832925.1,PRJNA590865,ASM983292v1,Complete Genome,na,SAMN13341645,2020-01-07,GCA_009832925.1,full,Streptomyces,Streptomyces sp. Tu 2975 (high GC Gram+),GCF_009832925.1,,yes,major,sp.,Tu 2975,University of Tuebingen,2676871
GCF_009834105.1,PRJNA597612,ASM983410v1,Complete Genome,na,SAMN13679251,2020-01-08,GCA_009834105.1,full,Streptomyces,Streptomyces sp. GF20 (high GC Gram+),GCF_009834105.1,,yes,major,sp.,GF20,Shandong Unversity,2692235
GCF_009834125.1,PRJNA597611,ASM983412v1,Complete Genome,na,SAMN13679250,2020-01-08,GCA_009834125.1,full,Streptomyces,Streptomyces sp. GS7 (high GC Gram+),GCF_009834125.1,,yes,major,sp.,GS7,Shandong Unversity,2692234
GCF_009834145.1,PRJNA597610,ASM983414v1,Complete Genome,na,SAMN13679248,2020-01-08,GCA_009834145.1,full,Streptomyces,Streptomyces sp. HF10 (high GC Gram+),GCF_009834145.1,,yes,major,sp.,HF10,Shandong Unversity,2692233
GCF_009834665.1,PRJNA196669,ASM983466v1,Contig,na,SAMN03018451,2020-01-08,GCA_009834665.1,full,Streptomyces,Streptomyces fradiae ATCC 10745 = DSM 40063 (high GC Gram+),GCF_009834665.1,,yes,major,fradiae,ATCC 10745,National Yang-Ming University,1319510
GCF_009846825.1,PRJNA218054,ASM984682v1,Scaffold,na,SAMN06186983,2020-01-09,GCA_009846825.1,full,Streptomyces,Streptomyces sp. FR-008 (high GC Gram+),GCF_009846825.1,,yes,major,sp.,FR-008,Wuhan University,206662
GCF_009852415.1,PRJNA590938,ASM985241v1,Contig,na,SAMN13342867,2020-01-10,GCA_009852415.1,full,Streptomyces,Streptomyces sp. Tu 3180 (high GC Gram+),GCF_009852415.1,,yes,major,sp.,Tu 3180,University of Tuebingen,2682611
GCF_009857135.1,PRJNA598787,ASM985713v1,Complete Genome,na,SAMN13716042,2020-01-12,GCA_009857135.1,full,Streptomyces,Streptomyces sp. HM190 (high GC Gram+),GCF_009857135.1,,yes,major,sp.,HM190,zhejiang university,2695266
GCF_009862025.1,PRJNA596543,ASM986202v1,Contig,na,SAMN13630853,2020-01-13,GCA_009862025.1,full,Streptomyces,Streptomyces sp. SID4946 (high GC Gram+),GCF_009862025.1,,yes,major,sp.,SID4946,University of Wisconsin-Madison,2690286
GCF_009862035.1,PRJNA596543,ASM986203v1,Scaffold,na,SAMN13630915,2020-01-13,GCA_009862035.1,full,Streptomyces,Streptomyces sp. SID8366 (high GC Gram+),GCF_009862035.1,,yes,major,sp.,SID8366,University of Wisconsin-Madison,2690348
GCF_009862045.1,PRJNA596543,ASM986204v1,Scaffold,na,SAMN13630911,2020-01-13,GCA_009862045.1,full,Streptomyces,Streptomyces sp. SID8360 (high GC Gram+),GCF_009862045.1,,yes,major,sp.,SID8360,University of Wisconsin-Madison,2690344
GCF_009862055.1,PRJNA596543,ASM986205v1,Scaffold,na,SAMN13630909,2020-01-13,GCA_009862055.1,full,Streptomyces,Streptomyces sp. SID8358 (high GC Gram+),GCF_009862055.1,,yes,major,sp.,SID8358,University of Wisconsin-Madison,2690342
GCF_009862105.1,PRJNA596543,ASM986210v1,Contig,na,SAMN13630908,2020-01-13,GCA_009862105.1,full,Streptomyces,Streptomyces sp. SID8357 (high GC Gram+),GCF_009862105.1,,yes,major,sp.,SID8357,University of Wisconsin-Madison,2690341
GCF_009862115.1,PRJNA596543,ASM986211v1,Scaffold,na,SAMN13630910,2020-01-13,GCA_009862115.1,full,Streptomyces,Streptomyces sp. SID8359 (high GC Gram+),GCF_009862115.1,,yes,major,sp.,SID8359,University of Wisconsin-Madison,2690343
GCF_009862125.1,PRJNA596543,ASM986212v1,Contig,na,SAMN13630879,2020-01-13,GCA_009862125.1,full,Streptomyces,Streptomyces sp. SID5910 (high GC Gram+),GCF_009862125.1,,yes,major,sp.,SID5910,University of Wisconsin-Madison,2690312
